Ensembl	Gene	Synonym	Description	Protein.class	Evidence	HPA.evidence	ENTREZID	Gene.name.HPA	myeloid DCStep
ENSG00000005194	CIAPIN1	 Anamorsin, CIAE2,	"Cytokine induced apoptosis inhibitor 1"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	57019	CIAPIN1	TopGeneInFirstStep
ENSG00000005302	MSL3	 MSL3L1,	"MSL complex subunit 3"	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	10943	MSL3	DCHighExpr
ENSG00000005381	MPO	 ,	Myeloperoxidase	"Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	4353	MPO	FunctionGene
ENSG00000005483	KMT2E	 HDCMC04P, MLL5,	"Lysine methyltransferase 2E (inactive)"	"Disease related genes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	55904	KMT2E	DCHighExpr
ENSG00000005801	ZNF195	 ,	"Zinc finger protein 195"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	7748	ZNF195	TF
ENSG00000005844	ITGAL	 CD11A, LFA-1,	"Integrin subunit alpha L"	"CD markers, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	3683	ITGAL	FunctionGene,DCHighExpr
ENSG00000005889	ZFX	 ZNF926,	"Zinc finger protein X-linked"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	7543	ZFX	TF,DCHighExpr
ENSG00000006015	REX1BD	 C19orf60, FLJ20850, FLJ30108, FLJ34606, FLJ37391,	"Required for excision 1-B domain containing"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	55049	REX1BD	TopGeneInFirstStep,DCHighExpr
ENSG00000006062	MAP3K14	 FTDCR1B, HS, HSNIK, NIK,	"Mitogen-activated protein kinase kinase kinase 14"	"Enzymes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	9020	MAP3K14	FunctionGene
ENSG00000006125	AP2B1	 ADTB2, CLAPB1,	"Adaptor related protein complex 2 subunit beta 1"	"Cancer-related genes, Predicted intracellular proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	163	AP2B1	DCHighExpr
ENSG00000006194	ZNF263	 FPM315, ZKSCAN12, ZSCAN44,	"Zinc finger protein 263"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	10127	ZNF263	TF
ENSG00000006327	TNFRSF12A	 CD266, FN14, TweakR,	"TNF receptor superfamily member 12A"	"Cancer-related genes, CD markers, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	51330	TNFRSF12A	FunctionGene
ENSG00000007255	TRAPPC6A	 HSPC289, MGC2650, TRS33,	"Trafficking protein particle complex 6A"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	79090	TRAPPC6A	TopGeneInFirstStep,DCHighExpr
ENSG00000007312	CD79B	 B29, IGB,	"CD79b molecule"	"Cancer-related genes, CD markers, Disease related genes, FDA approved drug targets, Human disease related genes, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	974	CD79B	FunctionGene
ENSG00000007392	LUC7L	 hLuc7B1, Luc7, LUC7B1,	"LUC7 like"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	55692	LUC7L	DCHighExpr
ENSG00000008083	JARID2	 JMJ,	"Jumonji and AT-rich interaction domain containing 2"	"Plasma proteins, Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	3720	JARID2	DCHighExpr
ENSG00000008130	NADK	 FLJ13052,	"NAD kinase"	"Enzymes, Metabolic proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	65220	NADK	CancerDExpr,DCHighExpr
ENSG00000008394	MGST1	 GST12, MGST-I,	"Microsomal glutathione S-transferase 1"	"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	4257	MGST1	TopGeneInFirstStep
ENSG00000008517	IL32	 NK4, TAIF, TAIFb, TAIFd,	"Interleukin 32"	"Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"	"Evidence at protein level"	"Evidence at transcript level"	9235	IL32	FunctionGene,DCHighExpr
ENSG00000009790	TRAF3IP3	 T3JAM,	"TRAF3 interacting protein 3"	"Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	80342	TRAF3IP3	TopGeneInFirstStep,DCHighExpr
ENSG00000009844	VTA1	 C6orf55, HSPC228, My012,	"Vesicle trafficking 1"	"Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	51534	VTA1	TopGeneInFirstStep
ENSG00000010278	CD9	 BA2, MIC3, MRP-1, P24, TSPAN29,	"CD9 molecule"	"Cancer-related genes, CD markers, Plasma proteins, Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	928	CD9	CancerDExpr
ENSG00000010539	ZNF200	 ,	"Zinc finger protein 200"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	7752	ZNF200	TF
ENSG00000010610	CD4	 ,	"CD4 molecule"	"CD markers, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	920	CD4	TopGeneInFirstStep,CancerDExpr,FunctionGene,DCHighExpr
ENSG00000010671	BTK	 AGMX1, ATK, IMD1, PSCTK1, XLA,	"Bruton tyrosine kinase"	"Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	695	BTK	TopGeneInFirstStep,CancerDExpr,FunctionGene,DCHighExpr
ENSG00000010803	SCMH1	 Scml3,	"Scm polycomb group protein homolog 1"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	22955	SCMH1	TF
ENSG00000010810	FYN	 MGC45350, SLK, SYN,	"FYN proto-oncogene, Src family tyrosine kinase"	"Enzymes, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	2534	FYN	FunctionGene
ENSG00000011009	LYPLA2	 APT-2,	"Lysophospholipase 2"	"Metabolic proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	11313	LYPLA2	TopGeneInFirstStep
ENSG00000011243	AKAP8L	 HAP95, NAKAP95,	"A-kinase anchoring protein 8 like"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	26993	AKAP8L	TF
ENSG00000011422	PLAUR	 CD87, UPAR, URKR,	"Plasminogen activator, urokinase receptor"	"Cancer-related genes, CD markers, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	5329	PLAUR	TopGeneInFirstStep,CancerDExpr,FunctionGene,DCHighExpr
ENSG00000011600	TYROBP	 DAP12, KARAP, PLO-SL, PLOSL,	"Transmembrane immune signaling adaptor TYROBP"	"Disease related genes, Human disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	7305	TYROBP	TopGeneInFirstStep,CancerDExpr,FunctionGene,DCHighExpr
ENSG00000012061	ERCC1	 RAD10,	"ERCC excision repair 1, endonuclease non-catalytic subunit"	"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	2067	ERCC1	TopGeneInFirstStep,DCHighExpr
ENSG00000012660	ELOVL5	 dJ483K16.1, HELO1, SCA38,	"ELOVL fatty acid elongase 5"	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	60481	ELOVL5	TopGeneInFirstStep,DCHighExpr
ENSG00000012779	ALOX5	 5-LOX,	"Arachidonate 5-lipoxygenase"	"Enzymes, FDA approved drug targets, Metabolic proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	240	ALOX5	TopGeneInFirstStep,CancerDExpr
ENSG00000013306	SLC25A39	 CGI-69, FLJ22407,	"Solute carrier family 25 member 39"	"Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at transcript level"	51629	SLC25A39	TopGeneInFirstStep
ENSG00000013364	MVP	 LRP, VAULT1,	"Major vault protein"	"Cancer-related genes, Predicted intracellular proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	9961	MVP	TopGeneInFirstStep
ENSG00000013374	NUB1	 BS4, NUB1L, NYREN18,	"Negative regulator of ubiquitin like proteins 1"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	51667	NUB1	CancerDExpr,DCHighExpr
ENSG00000013441	CLK1	 ,	"CDC like kinase 1"	"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	1195	CLK1	DCHighExpr
ENSG00000014216	CAPN1	 CANP, CANPL1, muCANP, muCL,	"Calpain 1"	"Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	823	CAPN1	DCHighExpr
ENSG00000014641	MDH1	 ,	"Malate dehydrogenase 1"	"Cancer-related genes, Citric acid cycle related proteins, Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	4190	MDH1	TopGeneInFirstStep,DCHighExpr
ENSG00000015285	WAS	 IMD2, THC, WASP, WASPA,	"WASP actin nucleation promoting factor"	"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	7454	WAS	CancerDExpr,DCHighExpr
ENSG00000015475	BID	 ,	"BH3 interacting domain death agonist"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	637	BID	TopGeneInFirstStep,CancerDExpr,DCHighExpr
ENSG00000015479	MATR3	 KIAA0723, MGC9105, MPD2, VCPDM,	"Matrin 3"	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	9782	MATR3	TopGeneInFirstStep
ENSG00000018189	RUFY3	 KIAA0871, RIPx, Singar1, ZFYVE30,	"RUN and FYVE domain containing 3"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	22902	RUFY3	DCHighExpr
ENSG00000018280	SLC11A1	 LSH, NRAMP, NRAMP1,	"Solute carrier family 11 member 1"	"Metabolic proteins, Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at transcript level"	6556	SLC11A1	CancerDExpr,FunctionGene
ENSG00000018869	ZNF582	 FLJ30927,	"Zinc finger protein 582"	"Predicted intracellular proteins, Transcription factors"	"Evidence at transcript level"	"Evidence at transcript level"	147948	ZNF582	TF
ENSG00000019169	MARCO	 SCARA2, SR-A6,	"Macrophage receptor with collagenous structure"	"Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	8685	MARCO	CancerDExpr,FunctionGene
ENSG00000019582	CD74	 DHLAG,	"CD74 molecule"	"Cancer-related genes, CD markers, Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	972	CD74	TopGeneInFirstStep,CancerDExpr,FunctionGene,DCHighExpr
ENSG00000020256	ZFP64	 dJ548G19.1, dJ831D17.1, FLJ10734, FLJ12628, ZNF338,	"ZFP64 zinc finger protein"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	55734	ZFP64	TF
ENSG00000020633	RUNX3	 AML2, CBFA3, PEBP2A3,	"RUNX family transcription factor 3"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	864	RUNX3	TF
ENSG00000021355	SERPINB1	 anti-elastase, EI, ELANH2, PI2,	"Serpin family B member 1"	"Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"	"Evidence at protein level"	"Evidence at protein level"	1992	SERPINB1	TopGeneInFirstStep,CancerDExpr,DCHighExpr
ENSG00000023171	GRAMD1B	 KIAA1201, LINC01059,	"GRAM domain containing 1B"	"Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	57476	GRAMD1B	DCHighExpr
ENSG00000023191	RNH1	 RAI, RNH,	"Ribonuclease/angiogenin inhibitor 1"	"Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	6050	RNH1	TopGeneInFirstStep,CancerDExpr,DCHighExpr
ENSG00000023287	RB1CC1	 ATG17, Cc1, DRAGOU14, FIP200, KIAA0203, PPP1R131,	"RB1 inducible coiled-coil 1"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	9821	RB1CC1	DCHighExpr
ENSG00000023445	BIRC3	 API2, c-IAP2, cIAP2, hiap-1, MALT2, MIHC, RNF49,	"Baculoviral IAP repeat containing 3"	"Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	330	BIRC3	CancerDExpr,DCHighExpr
ENSG00000023697	DERA	 CGI-26, DEOC,	"Deoxyribose-phosphate aldolase"	"Enzymes, Metabolic proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	51071	DERA	TopGeneInFirstStep
ENSG00000023902	PLEKHO1	 CKIP-1, OC120,	"Pleckstrin homology domain containing O1"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	51177	PLEKHO1	CancerDExpr,DCHighExpr
ENSG00000024048	UBR2	 bA49A4.1, C6orf133, dJ392M17.3, KIAA0349,	"Ubiquitin protein ligase E3 component n-recognin 2"	"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	23304	UBR2	DCHighExpr
ENSG00000024862	CCDC28A	 C6orf80, CCRL1AP, DKFZp586D0623,	"Coiled-coil domain containing 28A"	"Predicted intracellular proteins"	"Evidence at transcript level"	"Evidence at transcript level"	25901	CCDC28A	TopGeneInFirstStep
ENSG00000025156	HSF2	 ,	"Heat shock transcription factor 2"	"Plasma proteins, Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	3298	HSF2	TF
ENSG00000025708	TYMP	 ECGF1, MNGIE,	"Thymidine phosphorylase"	"Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	1890	TYMP	CancerDExpr,FunctionGene,DCHighExpr
ENSG00000025796	SEC63	 DNAJC23, ERdj2, PRO2507, SEC63L,	"SEC63 homolog, protein translocation regulator"	"Disease related genes, Human disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	11231	SEC63	DCHighExpr
ENSG00000026025	VIM	 ,	Vimentin	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	7431	VIM	TopGeneInFirstStep,CancerDExpr,FunctionGene,DCHighExpr
ENSG00000026297	RNASET2	 bA514O12.3, FLJ10907, RNASE6PL,	"Ribonuclease T2"	"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins"	"Evidence at protein level"	"Evidence at protein level"	8635	RNASET2	TopGeneInFirstStep,CancerDExpr,DCHighExpr
ENSG00000026508	CD44	 CD44R, CSPG8, HCELL, IN, MC56, MDU2, MDU3, MIC4, Pgp1,	"CD44 molecule (Indian blood group)"	"Blood group antigen proteins, Cancer-related genes, CD markers, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins"	"Evidence at protein level"	"Evidence at protein level"	960	CD44	TopGeneInFirstStep,CancerDExpr,DCHighExpr
ENSG00000026751	SLAMF7	 19A, CD319, CRACC, CS1,	"SLAM family member 7"	"CD markers, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	57823	SLAMF7	CancerDExpr,DCHighExpr
ENSG00000028137	TNFRSF1B	 CD120b, p75, TNF-R-II, TNF-R75, TNFBR, TNFR2, TNFR80,	"TNF receptor superfamily member 1B"	"Cancer-related genes, Candidate cardiovascular disease genes, CD markers, Human disease related genes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins"	"Evidence at protein level"	"Evidence at protein level"	7133	TNFRSF1B	TopGeneInFirstStep,CancerDExpr,FunctionGene,DCHighExpr
ENSG00000028203	VEZT	 DKFZP761C241,	"Vezatin, adherens junctions transmembrane protein"	"Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	55591	VEZT	DCHighExpr
ENSG00000028277	POU2F2	 OCT2, OTF2,	"POU class 2 homeobox 2"	"Cancer-related genes, Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	5452	POU2F2	TF
ENSG00000029725	RABEP1	 neurocrescin, RAB5EP, rabaptin-5, RABPT5,	"Rabaptin, RAB GTPase binding effector protein 1"	"Cancer-related genes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	9135	RABEP1	FunctionGene
ENSG00000031003	FAM13B	 ARHGAP49, C5orf5, FAM13B1, KHCHP, N61,	"Family with sequence similarity 13 member B"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	51306	FAM13B	DCHighExpr
ENSG00000032219	ARID4A	 RBBP1, RBP-1, RBP1,	"AT-rich interaction domain 4A"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	5926	ARID4A	DCHighExpr
ENSG00000033011	ALG1	 CDG1K, HMAT1, HMT-1, Mat-1,	"ALG1 chitobiosyldiphosphodolichol beta-mannosyltransferase"	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	56052	ALG1	TopGeneInFirstStep
ENSG00000033178	UBA6	 FLJ10808, UBE1L2,	"Ubiquitin like modifier activating enzyme 6"	"Enzymes, Metabolic proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	55236	UBA6	DCHighExpr
ENSG00000033800	PIAS1	 DDXBP1, GBP, GU/RH-II, ZMIZ3,	"Protein inhibitor of activated STAT 1"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	8554	PIAS1	DCHighExpr
ENSG00000035403	VCL	 ,	Vinculin	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	7414	VCL	DCHighExpr
ENSG00000035862	TIMP2	 CSC-21K,	"TIMP metallopeptidase inhibitor 2"	"Cancer-related genes, Candidate cardiovascular disease genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"	"Evidence at protein level"	"Evidence at transcript level"	7077	TIMP2	CancerDExpr,DCHighExpr
ENSG00000037241	RPL26L1	 RPL26P1,	"Ribosomal protein L26 like 1"	"Predicted intracellular proteins, Ribosomal proteins"	"Evidence at protein level"	"Evidence at protein level"	51121	RPL26L1	TopGeneInFirstStep
ENSG00000037474	NSUN2	 FLJ20303, Misu, MRT5, TRM4,	"NOP2/Sun RNA methyltransferase 2"	"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	54888	NSUN2	DCHighExpr
ENSG00000038274	MAT2B	 MATIIbeta, SDR23E1,	"Methionine adenosyltransferase 2B"	"Metabolic proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	27430	MAT2B	TopGeneInFirstStep,DCHighExpr
ENSG00000038427	VCAN	 CSPG2, PG-M,	Versican	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"	"Evidence at protein level"	"Evidence at protein level"	1462	VCAN	TopGeneInFirstStep,CancerDExpr
ENSG00000039068	CDH1	 CD324, UVO, uvomorulin,	"Cadherin 1"	"Cancer-related genes, CD markers, Disease related genes, Human disease related genes, Plasma proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	999	CDH1	FunctionGene
ENSG00000039319	ZFYVE16	 KIAA0305, PPP1R69,	"Zinc finger FYVE-type containing 16"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	9765	ZFYVE16	CancerDExpr
ENSG00000040633	PHF23	 FLJ16355, MGC2941,	"PHD finger protein 23"	"Disease related genes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	79142	PHF23	DCHighExpr
ENSG00000040933	INPP4A	 INPP4,	"Inositol polyphosphate-4-phosphatase type I A"	"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	3631	INPP4A	DCHighExpr
ENSG00000041988	THAP3	 ,	"THAP domain containing 3"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	90326	THAP3	TF
ENSG00000042493	CAPG	 AFCP, MCP,	"Capping actin protein, gelsolin like"	"Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	822	CAPG	TopGeneInFirstStep,CancerDExpr,DCHighExpr
ENSG00000042980	ADAM28	 ADAM23, eMDCII, MDC-Lm, MDC-Ls,	"ADAM metallopeptidase domain 28"	"Plasma proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	10863	ADAM28	CancerDExpr
ENSG00000043093	DCUN1D1	 DCUN1L1, RP42, SCCRO, SCRO, Tes3,	"Defective in cullin neddylation 1 domain containing 1"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	54165	DCUN1D1	DCHighExpr
ENSG00000043462	LCP2	 SLP-76, SLP76,	"Lymphocyte cytosolic protein 2"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	3937	LCP2	CancerDExpr,FunctionGene
ENSG00000046651	OFD1	 71-7A, CXorf5, JBTS10, RP23,	"OFD1 centriole and centriolar satellite protein"	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	8481	OFD1	DCHighExpr
ENSG00000047579	DTNBP1	 BLOC1S8, DBND, Dysbindin, HPS7, My031,	"Dystrobrevin binding protein 1"	"Disease related genes, Human disease related genes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	84062	DTNBP1	DCHighExpr
ENSG00000048052	HDAC9	 HD7, HDAC, HDAC7B, KIAA0744, MITR,	"Histone deacetylase 9"	"Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	9734	HDAC9	TopGeneInFirstStep
ENSG00000048392	RRM2B	 p53R2,	"Ribonucleotide reductase regulatory TP53 inducible subunit M2B"	"Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	50484	RRM2B	DCHighExpr
ENSG00000048405	ZNF800	 ,	"Zinc finger protein 800"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	168850	ZNF800	TF,DCHighExpr
ENSG00000048649	RSF1	 HBXAP, p325, RSF-1, XAP8,	"Remodeling and spacing factor 1"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	51773	RSF1	DCHighExpr
ENSG00000048740	CELF2	 BRUNOL3, CUGBP2, Etr-3, NAPOR-2,	"CUGBP Elav-like family member 2"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	10659	CELF2	CancerDExpr,DCHighExpr
ENSG00000048828	FAM120A	 C9orf10, KIAA0183, OSSA,	"Family with sequence similarity 120A"	"Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	23196	FAM120A	DCHighExpr
ENSG00000048991	R3HDM1	 KIAA0029, R3HDM,	"R3H domain containing 1"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	23518	R3HDM1	DCHighExpr
ENSG00000049618	ARID1B	 6A3-5, BAF250b, DAN15, ELD/OSA1, KIAA1235, p250R,	"AT-rich interaction domain 1B"	"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	57492	ARID1B	DCHighExpr
